| 智慧研报要素表——提取研报精华，紧跟市场风口（相关数据更新至2024.6.3） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 14 | 风险等级 | 中等风险，稳健型、积极型、激进型的投资者可订阅。 |

| 智慧研报要素表——提取研报精华，紧跟市场风口（相关数据更新至2024.6.3） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 15 | 销售客户适当性要求 | 风险承受能力为中等及以上，投资品种为权益类 |

| 智慧研报要素表——提取研报精华，紧跟市场风口（相关数据更新至2024.6.3） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 16 | 服务范围 | 内容涉及上证、深证市场股票，包括主板、创业板、科创板及北交所股票 |

| 智慧研报要素表——提取研报精华，紧跟市场风口（相关数据更新至2024.6.3） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 17 | 账户要求 | 中信建投证券资金账户 |

| 智慧研报要素表——提取研报精华，紧跟市场风口（相关数据更新至2024.6.3） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 18 | 付费方式 | 资金账户可用资金 |

| 智慧研报要素表——提取研报精华，紧跟市场风口（相关数据更新至2024.6.3） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 19 | 签约途径 | 蜻蜓点金APP—首页AI选股—智慧研报 |

| 智慧研报要素表——提取研报精华，紧跟市场风口（相关数据更新至2024.6.3） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 20 | 可签约时间 | 现金签约：交易日9:00—16:00；后端签约：7*24小时签约 |


| 智慧研报要素表——提取研报精华，紧跟市场风口（相关数据更新至2024.6.3） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| |              | | 热点追踪：每天挑选一个当前最热的主题，为你抽丝剥茧，讲清前因后果。每周一至周四 15:30一篇。 |
| |              | |                                                                                                                            |
| |              | | 一周回顾：每周五 15:30 左右总结精选一周回顾，辅助复盘。 |

| 智慧研报要素表——提取研报精华，紧跟市场风口（相关数据更新至2024.6.3） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 基本信息 | 10 | 更新频次 | 每个交易日9-12次消息推送 |

| 智慧研报要素表——提取研报精华，紧跟市场风口（相关数据更新至2024.6.3） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 基本信息 | 11 | 服务接收方式 | 每个交易日有APP推送+微信服务号通知（由于智慧研报时效性较强，需重点提示客户将APP消息推送打开，以免错过重要消息） |

| 智慧研报要素表——提取研报精华，紧跟市场风口（相关数据更新至2024.6.3） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 基本信息 | 12 | 主要收费标准 | 现金付费、后端佣金付费 |

| 智慧研报要素表——提取研报精华，紧跟市场风口（相关数据更新至2024.6.3） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 基本信息 | 13 | 产品上线时间 | 2024-06-15 00:00:00 |


智慧研报要素表

| 智慧研报要素表——提取研报精华，紧跟市场风口（相关数据更新至2024.6.3） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 基本信息 | 1 | 产品名称 | 智慧研报 |

| 智慧研报要素表——提取研报精华，紧跟市场风口（相关数据更新至2024.6.3） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 基本信息 | 2 | 产品代码 | ZT0043 |

| 智慧研报要素表——提取研报精华，紧跟市场风口（相关数据更新至2024.6.3） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 基本信息 | 3 | 产品类型 | 智能决策工具-研报资讯类 |

| 智慧研报要素表——提取研报精华，紧跟市场风口（相关数据更新至2024.6.3） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 基本信息 | 4 | 产品简介 | 【智慧研报】从产业趋势、宏观策略、公司动态及明星分析四大维度精选全市场研报，每日提炼9-12篇高质量报告，核心逻辑化繁为简，助您迅速把握投资脉络。 |

